Entry ID,Contest Name,Contest ID,Entry Fee,CPT,TOP,JNG,MID,ADC,SUP,TEAM,,Instructions
4728280981,LCK-LPL $20K Double Buff [$5K to 1st],176884932,$20,Kanavi (38885735),Ale (38885656),Xun (38885680),Creme (38885661),JackeyLove (38885684),Crisp (38885668),JD Gaming (38885696),,1. Column A lists all of your contest entries for this draftgroup
4728283523,LCK-LPL $20K Double Buff [$5K to 1st],176884932,$20,Gideon (38885738),369 (38885652),Kanavi (38885676),Calix (38885663),Jiwoo (38885686),Lehends (38885671),Top Esports (38885692),,2. Your current lineup is listed next to each entry (blank for reservations)
,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
,,,,,,,,,,,,
,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,ADC, JackeyLove (38885743), JackeyLove,38885743,CPT,12000,WBG@TES 05/17/2025 05:00AM ET,TES,71.80
,,,,,,,,,,,,MID, Knight (38885719), Knight,38885719,CPT,11700,JDG@BLG 05/17/2025 06:45AM ET,BLG,78.13
,,,,,,,,,,,,ADC, Elk (38885744), Elk,38885744,CPT,11700,JDG@BLG 05/17/2025 06:45AM ET,BLG,75.48
,,,,,,,,,,,,MID, Creme (38885720), Creme,38885720,CPT,11400,WBG@TES 05/17/2025 05:00AM ET,TES,66.87
,,,,,,,,,,,,JNG, Kanavi (38885735), Kanavi,38885735,CPT,11400,WBG@TES 05/17/2025 05:00AM ET,TES,71.90
,,,,,,,,,,,,ADC, Jiwoo (38885745), Jiwoo,38885745,CPT,11100,DRX@NS 05/17/2025 02:00AM ET,NS,68.02
,,,,,,,,,,,,MID, Bdd (38885721), Bdd,38885721,CPT,11100,KT@BRO 05/17/2025 03:45AM ET,KT,69.71
,,,,,,,,,,,,MID, Calix (38885722), Calix,38885722,CPT,10800,DRX@NS 05/17/2025 02:00AM ET,NS,66.90
,,,,,,,,,,,,JNG, Cuzz (38885736), Cuzz,38885736,CPT,10800,KT@BRO 05/17/2025 03:45AM ET,KT,71.31
,,,,,,,,,,,,ADC, deokdam (38885746), deokdam,38885746,CPT,10800,KT@BRO 05/17/2025 03:45AM ET,KT,73.94
,,,,,,,,,,,,MID, Fisher (38885760), Fisher,38885760,CPT,10500,DRX@NS 05/17/2025 02:00AM ET,NS,63.98
,,,,,,,,,,,,ADC, Paduck (38885767), Paduck,38885767,CPT,10500,KT@BRO 05/17/2025 03:45AM ET,KT,48.61
,,,,,,,,,,,,MID, Scout (38885723), Scout,38885723,CPT,10500,JDG@BLG 05/17/2025 06:45AM ET,JDG,64.82
,,,,,,,,,,,,JNG, Beichuan (38885737), Beichuan,38885737,CPT,10500,JDG@BLG 05/17/2025 06:45AM ET,BLG,52.82
,,,,,,,,,,,,ADC, Peyz (38885747), Peyz,38885747,CPT,10500,JDG@BLG 05/17/2025 06:45AM ET,JDG,72.55
,,,,,,,,,,,,JNG, Gideon (38885738), Gideon,38885738,CPT,10200,DRX@NS 05/17/2025 02:00AM ET,NS,66.25
,,,,,,,,,,,,MID, Clozer (38885724), Clozer,38885724,CPT,10200,KT@BRO 05/17/2025 03:45AM ET,BRO,61.11
,,,,,,,,,,,,ADC, Light (38885748), Light,38885748,CPT,10200,WBG@TES 05/17/2025 05:00AM ET,WBG,64.54
,,,,,,,,,,,,JNG, Wei (38885764), Wei,38885764,CPT,10200,JDG@BLG 05/17/2025 06:45AM ET,BLG,59.08
,,,,,,,,,,,,ADC, Hype (38885749), Hype,38885749,CPT,9900,KT@BRO 05/17/2025 03:45AM ET,BRO,59.02
,,,,,,,,,,,,TOP, 369 (38885711), 369,38885711,CPT,9900,WBG@TES 05/17/2025 05:00AM ET,TES,58.07
,,,,,,,,,,,,MID, Xiaohu (38885725), Xiaohu,38885725,CPT,9900,WBG@TES 05/17/2025 05:00AM ET,WBG,54.27
,,,,,,,,,,,,TOP, Kingen (38885712), Kingen,38885712,CPT,9600,DRX@NS 05/17/2025 02:00AM ET,NS,57.25
,,,,,,,,,,,,MID, Ucal (38885726), Ucal,38885726,CPT,9600,DRX@NS 05/17/2025 02:00AM ET,DRX,53.36
,,,,,,,,,,,,ADC, Bull (38885768), Bull,38885768,CPT,9600,KT@BRO 05/17/2025 03:45AM ET,BRO,79.42
,,,,,,,,,,,,JNG, Xun (38885739), Xun,38885739,CPT,9600,JDG@BLG 05/17/2025 06:45AM ET,JDG,65.94
,,,,,,,,,,,,ADC, LazyFeel (38885750), LazyFeel,38885750,CPT,9300,DRX@NS 05/17/2025 02:00AM ET,DRX,64.37
,,,,,,,,,,,,JNG, Tian (38885740), Tian,38885740,CPT,9300,WBG@TES 05/17/2025 05:00AM ET,WBG,53.71
,,,,,,,,,,,,TOP, bin (38885713), bin,38885713,CPT,9300,JDG@BLG 05/17/2025 06:45AM ET,BLG,59.90
,,,,,,,,,,,,ADC, Teddy (38885769), Teddy,38885769,CPT,9000,DRX@NS 05/17/2025 02:00AM ET,DRX,44.98
,,,,,,,,,,,,TOP, PerfecT (38885714), PerfecT,38885714,CPT,9000,KT@BRO 05/17/2025 03:45AM ET,KT,62.50
,,,,,,,,,,,,SUP, Crisp (38885727), Crisp,38885727,CPT,9000,WBG@TES 05/17/2025 05:00AM ET,TES,57.64
,,,,,,,,,,,,JNG, Sponge (38885741), Sponge,38885741,CPT,8700,DRX@NS 05/17/2025 02:00AM ET,DRX,48.83
,,,,,,,,,,,,TOP, Casting (38885759), Casting,38885759,CPT,8700,KT@BRO 05/17/2025 03:45AM ET,KT,49.52
,,,,,,,,,,,,TOP, Ale (38885715), Ale,38885715,CPT,8700,JDG@BLG 05/17/2025 06:45AM ET,JDG,56.75
,,,,,,,,,,,,SUP, ON (38885728), ON,38885728,CPT,8700,JDG@BLG 05/17/2025 06:45AM ET,BLG,58.22
,,,,,,,,,,,,SUP, Peter (38885729), Peter,38885729,CPT,8400,KT@BRO 05/17/2025 03:45AM ET,KT,54.20
,,,,,,,,,,,,JNG, Croco (38885742), Croco,38885742,CPT,8400,KT@BRO 05/17/2025 03:45AM ET,BRO,58.34
,,,,,,,,,,,,TOP, Breathe (38885716), Breathe,38885716,CPT,8400,WBG@TES 05/17/2025 05:00AM ET,WBG,51.54
,,,,,,,,,,,,TEAM,Top Esports  (38885751),Top Esports ,38885751,CPT,8400,WBG@TES 05/17/2025 05:00AM ET,TES,38.35
,,,,,,,,,,,,SUP, Lehends (38885730), Lehends,38885730,CPT,8100,DRX@NS 05/17/2025 02:00AM ET,NS,46.90
,,,,,,,,,,,,TEAM,Nongshim RedForce  (38885752),Nongshim RedForce ,38885752,CPT,8100,DRX@NS 05/17/2025 02:00AM ET,NS,38.38
,,,,,,,,,,,,TOP, Morgan (38885717), Morgan,38885717,CPT,8100,KT@BRO 05/17/2025 03:45AM ET,BRO,43.88
,,,,,,,,,,,,SUP, Way (38885761), Way,38885761,CPT,8100,KT@BRO 05/17/2025 03:45AM ET,KT,0
,,,,,,,,,,,,JNG, Ellim (38885765), Ellim,38885765,CPT,8100,KT@BRO 05/17/2025 03:45AM ET,BRO,49.14
,,,,,,,,,,,,JNG, HamBak (38885766), HamBak,38885766,CPT,8100,KT@BRO 05/17/2025 03:45AM ET,BRO,43.14
,,,,,,,,,,,,ADC, JackeyLove (38885684), JackeyLove,38885684,ADC,8000,WBG@TES 05/17/2025 05:00AM ET,TES,71.80
,,,,,,,,,,,,MID, Knight (38885660), Knight,38885660,MID,7800,JDG@BLG 05/17/2025 06:45AM ET,BLG,78.13
,,,,,,,,,,,,ADC, Elk (38885685), Elk,38885685,ADC,7800,JDG@BLG 05/17/2025 06:45AM ET,BLG,75.48
,,,,,,,,,,,,TEAM,KT Rolster  (38885753),KT Rolster ,38885753,CPT,7800,KT@BRO 05/17/2025 03:45AM ET,KT,38.69
,,,,,,,,,,,,MID, Creme (38885661), Creme,38885661,MID,7600,WBG@TES 05/17/2025 05:00AM ET,TES,66.87
,,,,,,,,,,,,JNG, Kanavi (38885676), Kanavi,38885676,JNG,7600,WBG@TES 05/17/2025 05:00AM ET,TES,71.90
,,,,,,,,,,,,TOP, Rich (38885718), Rich,38885718,CPT,7500,DRX@NS 05/17/2025 02:00AM ET,DRX,43.09
,,,,,,,,,,,,SUP, Erha (38885731), Erha,38885731,CPT,7500,WBG@TES 05/17/2025 05:00AM ET,WBG,55.98
,,,,,,,,,,,,TEAM,Bilibili Gaming  (38885754),Bilibili Gaming ,38885754,CPT,7500,JDG@BLG 05/17/2025 06:45AM ET,BLG,40.10
,,,,,,,,,,,,ADC, Jiwoo (38885686), Jiwoo,38885686,ADC,7400,DRX@NS 05/17/2025 02:00AM ET,NS,68.02
,,,,,,,,,,,,MID, Bdd (38885662), Bdd,38885662,MID,7400,KT@BRO 05/17/2025 03:45AM ET,KT,69.71
,,,,,,,,,,,,MID, Calix (38885663), Calix,38885663,MID,7200,DRX@NS 05/17/2025 02:00AM ET,NS,66.90
,,,,,,,,,,,,JNG, Cuzz (38885677), Cuzz,38885677,JNG,7200,KT@BRO 05/17/2025 03:45AM ET,KT,71.31
,,,,,,,,,,,,ADC, deokdam (38885687), deokdam,38885687,ADC,7200,KT@BRO 05/17/2025 03:45AM ET,KT,73.94
,,,,,,,,,,,,SUP, Pollu (38885732), Pollu,38885732,CPT,7200,KT@BRO 05/17/2025 03:45AM ET,BRO,37.39
,,,,,,,,,,,,SUP, Hang (38885762), Hang,38885762,CPT,7200,WBG@TES 05/17/2025 05:00AM ET,WBG,26.69
,,,,,,,,,,,,TEAM,JD Gaming  (38885755),JD Gaming ,38885755,CPT,7200,JDG@BLG 05/17/2025 06:45AM ET,JDG,37.33
,,,,,,,,,,,,MID, Fisher (38885701), Fisher,38885701,MID,7000,DRX@NS 05/17/2025 02:00AM ET,NS,63.98
,,,,,,,,,,,,ADC, Paduck (38885708), Paduck,38885708,ADC,7000,KT@BRO 05/17/2025 03:45AM ET,KT,48.61
,,,,,,,,,,,,MID, Scout (38885664), Scout,38885664,MID,7000,JDG@BLG 05/17/2025 06:45AM ET,JDG,64.82
,,,,,,,,,,,,JNG, Beichuan (38885678), Beichuan,38885678,JNG,7000,JDG@BLG 05/17/2025 06:45AM ET,BLG,52.82
,,,,,,,,,,,,ADC, Peyz (38885688), Peyz,38885688,ADC,7000,JDG@BLG 05/17/2025 06:45AM ET,JDG,72.55
,,,,,,,,,,,,TEAM,BRION  (38885756),BRION ,38885756,CPT,6900,KT@BRO 05/17/2025 03:45AM ET,BRO,29.31
,,,,,,,,,,,,SUP, Missing (38885733), Missing,38885733,CPT,6900,JDG@BLG 05/17/2025 06:45AM ET,JDG,48.49
,,,,,,,,,,,,JNG, Gideon (38885679), Gideon,38885679,JNG,6800,DRX@NS 05/17/2025 02:00AM ET,NS,66.25
,,,,,,,,,,,,MID, Clozer (38885665), Clozer,38885665,MID,6800,KT@BRO 05/17/2025 03:45AM ET,BRO,61.11
,,,,,,,,,,,,ADC, Light (38885689), Light,38885689,ADC,6800,WBG@TES 05/17/2025 05:00AM ET,WBG,64.54
,,,,,,,,,,,,JNG, Wei (38885705), Wei,38885705,JNG,6800,JDG@BLG 05/17/2025 06:45AM ET,BLG,59.08
,,,,,,,,,,,,ADC, Hype (38885690), Hype,38885690,ADC,6600,KT@BRO 05/17/2025 03:45AM ET,BRO,59.02
,,,,,,,,,,,,TOP, 369 (38885652), 369,38885652,TOP,6600,WBG@TES 05/17/2025 05:00AM ET,TES,58.07
,,,,,,,,,,,,MID, Xiaohu (38885666), Xiaohu,38885666,MID,6600,WBG@TES 05/17/2025 05:00AM ET,WBG,54.27
,,,,,,,,,,,,SUP, Andil (38885734), Andil,38885734,CPT,6600,DRX@NS 05/17/2025 02:00AM ET,DRX,36.67
,,,,,,,,,,,,TEAM,DRX  (38885757),DRX ,38885757,CPT,6600,DRX@NS 05/17/2025 02:00AM ET,DRX,27.69
,,,,,,,,,,,,TOP, Kingen (38885653), Kingen,38885653,TOP,6400,DRX@NS 05/17/2025 02:00AM ET,NS,57.25
,,,,,,,,,,,,MID, Ucal (38885667), Ucal,38885667,MID,6400,DRX@NS 05/17/2025 02:00AM ET,DRX,53.36
,,,,,,,,,,,,ADC, Bull (38885709), Bull,38885709,ADC,6400,KT@BRO 05/17/2025 03:45AM ET,BRO,79.42
,,,,,,,,,,,,JNG, Xun (38885680), Xun,38885680,JNG,6400,JDG@BLG 05/17/2025 06:45AM ET,JDG,65.94
,,,,,,,,,,,,SUP, Pleata (38885763), Pleata,38885763,CPT,6300,DRX@NS 05/17/2025 02:00AM ET,DRX,31.06
,,,,,,,,,,,,TEAM,Weibo Gaming  (38885758),Weibo Gaming ,38885758,CPT,6300,WBG@TES 05/17/2025 05:00AM ET,WBG,30.62
,,,,,,,,,,,,ADC, LazyFeel (38885691), LazyFeel,38885691,ADC,6200,DRX@NS 05/17/2025 02:00AM ET,DRX,64.37
,,,,,,,,,,,,JNG, Tian (38885681), Tian,38885681,JNG,6200,WBG@TES 05/17/2025 05:00AM ET,WBG,53.71
,,,,,,,,,,,,TOP, bin (38885654), bin,38885654,TOP,6200,JDG@BLG 05/17/2025 06:45AM ET,BLG,59.90
,,,,,,,,,,,,ADC, Teddy (38885710), Teddy,38885710,ADC,6000,DRX@NS 05/17/2025 02:00AM ET,DRX,44.98
,,,,,,,,,,,,TOP, PerfecT (38885655), PerfecT,38885655,TOP,6000,KT@BRO 05/17/2025 03:45AM ET,KT,62.50
,,,,,,,,,,,,SUP, Crisp (38885668), Crisp,38885668,SUP,6000,WBG@TES 05/17/2025 05:00AM ET,TES,57.64
,,,,,,,,,,,,JNG, Sponge (38885682), Sponge,38885682,JNG,5800,DRX@NS 05/17/2025 02:00AM ET,DRX,48.83
,,,,,,,,,,,,TOP, Casting (38885700), Casting,38885700,TOP,5800,KT@BRO 05/17/2025 03:45AM ET,KT,49.52
,,,,,,,,,,,,TOP, Ale (38885656), Ale,38885656,TOP,5800,JDG@BLG 05/17/2025 06:45AM ET,JDG,56.75
,,,,,,,,,,,,SUP, ON (38885669), ON,38885669,SUP,5800,JDG@BLG 05/17/2025 06:45AM ET,BLG,58.22
,,,,,,,,,,,,SUP, Peter (38885670), Peter,38885670,SUP,5600,KT@BRO 05/17/2025 03:45AM ET,KT,54.20
,,,,,,,,,,,,JNG, Croco (38885683), Croco,38885683,JNG,5600,KT@BRO 05/17/2025 03:45AM ET,BRO,58.34
,,,,,,,,,,,,TOP, Breathe (38885657), Breathe,38885657,TOP,5600,WBG@TES 05/17/2025 05:00AM ET,WBG,51.54
,,,,,,,,,,,,TEAM,Top Esports  (38885692),Top Esports ,38885692,TEAM,5600,WBG@TES 05/17/2025 05:00AM ET,TES,38.35
,,,,,,,,,,,,SUP, Lehends (38885671), Lehends,38885671,SUP,5400,DRX@NS 05/17/2025 02:00AM ET,NS,46.90
,,,,,,,,,,,,TEAM,Nongshim RedForce  (38885693),Nongshim RedForce ,38885693,TEAM,5400,DRX@NS 05/17/2025 02:00AM ET,NS,38.38
,,,,,,,,,,,,TOP, Morgan (38885658), Morgan,38885658,TOP,5400,KT@BRO 05/17/2025 03:45AM ET,BRO,43.88
,,,,,,,,,,,,SUP, Way (38885702), Way,38885702,SUP,5400,KT@BRO 05/17/2025 03:45AM ET,KT,0
,,,,,,,,,,,,JNG, Ellim (38885706), Ellim,38885706,JNG,5400,KT@BRO 05/17/2025 03:45AM ET,BRO,49.14
,,,,,,,,,,,,JNG, HamBak (38885707), HamBak,38885707,JNG,5400,KT@BRO 05/17/2025 03:45AM ET,BRO,43.14
,,,,,,,,,,,,TEAM,KT Rolster  (38885694),KT Rolster ,38885694,TEAM,5200,KT@BRO 05/17/2025 03:45AM ET,KT,38.69
,,,,,,,,,,,,TOP, Rich (38885659), Rich,38885659,TOP,5000,DRX@NS 05/17/2025 02:00AM ET,DRX,43.09
,,,,,,,,,,,,SUP, Erha (38885672), Erha,38885672,SUP,5000,WBG@TES 05/17/2025 05:00AM ET,WBG,55.98
,,,,,,,,,,,,TEAM,Bilibili Gaming  (38885695),Bilibili Gaming ,38885695,TEAM,5000,JDG@BLG 05/17/2025 06:45AM ET,BLG,40.10
,,,,,,,,,,,,SUP, Pollu (38885673), Pollu,38885673,SUP,4800,KT@BRO 05/17/2025 03:45AM ET,BRO,37.39
,,,,,,,,,,,,SUP, Hang (38885703), Hang,38885703,SUP,4800,WBG@TES 05/17/2025 05:00AM ET,WBG,26.69
,,,,,,,,,,,,TEAM,JD Gaming  (38885696),JD Gaming ,38885696,TEAM,4800,JDG@BLG 05/17/2025 06:45AM ET,JDG,37.33
,,,,,,,,,,,,TEAM,BRION  (38885697),BRION ,38885697,TEAM,4600,KT@BRO 05/17/2025 03:45AM ET,BRO,29.31
,,,,,,,,,,,,SUP, Missing (38885674), Missing,38885674,SUP,4600,JDG@BLG 05/17/2025 06:45AM ET,JDG,48.49
,,,,,,,,,,,,SUP, Andil (38885675), Andil,38885675,SUP,4400,DRX@NS 05/17/2025 02:00AM ET,DRX,36.67
,,,,,,,,,,,,TEAM,DRX  (38885698),DRX ,38885698,TEAM,4400,DRX@NS 05/17/2025 02:00AM ET,DRX,27.69
,,,,,,,,,,,,SUP, Pleata (38885704), Pleata,38885704,SUP,4200,DRX@NS 05/17/2025 02:00AM ET,DRX,31.06
,,,,,,,,,,,,TEAM,Weibo Gaming  (38885699),Weibo Gaming ,38885699,TEAM,4200,WBG@TES 05/17/2025 05:00AM ET,WBG,30.62
